statuses_count,followers_count,friends_count,favourites_count,listed_count,default_profile,profile_use_background_image,verified,tweet_freq,followers_growth_rate,friends_growth_rate,favourites_growth_rate,listed_growth_rate,followers_friends_ratio,screen_name_length,num_digits_in_screen_name,name_length,num_digits_in_name,description_length,screen_name_likelihood,is_bot
984,1319,1295,950,9,False,True,False,0.03258646391920265,0.043680432834784844,0.04288564103187746,0.03146050886508386,0.0002980469260902681,1.0185328185328186,15,0,18,0,144,0.00034004430356775406,1
695,1310,1264,189,12,False,True,False,0.01727009639737092,0.03255226802957684,0.03140921128960697,0.0046964722577023076,0.0002981887147747497,1.0363924050632911,14,0,15,0,144,0.0007069638569169667,1
2012,1522,1504,1115,12,False,True,False,0.04012067487193699,0.030349735166544777,0.029990802687571188,0.022233873003086352,0.00023928831931572755,1.011968085106383,11,0,12,0,144,0.0004850107134315478,1
655,1251,1190,319,10,False,True,False,0.01874121192741276,0.035794284154493684,0.03404891937957433,0.00912739939670942,0.0002861253729375994,1.0512605042016807,13,0,14,0,144,0.0004863069536199228,1
785,1349,1293,265,10,False,True,False,0.020224736614851,0.03475563018271847,0.03331284642420681,0.006827458857242694,0.0002576399568770828,1.0433101314771849,12,0,13,0,144,0.0004974495774589499,1
703,1201,1197,371,10,False,True,False,0.021288454521121648,0.03636903823594182,0.0362479090494774,0.011234732044574867,0.0003028229661610476,1.0033416875522139,12,0,13,0,144,0.00025883099719928846,1
620,1332,1279,420,10,False,True,False,0.018449235613948158,0.03963609973835314,0.038058987661676924,0.012497869286868107,0.00029756831635400257,1.0414386239249414,12,0,13,0,144,0.0005948173717884209,1
305,996,931,351,11,False,True,False,0.008033118866374459,0.026232742265275284,0.024520766113424988,0.00924467121999159,0.00028971904108235754,1.0698174006444683,13,0,14,0,144,0.0005347757885639956,1
576,1182,1160,361,8,False,True,False,0.01632886690735576,0.03350819563280297,0.03288452363286924,0.010233890544367066,0.0002267898181577189,1.0189655172413794,13,0,19,0,144,0.000561633225304009,1
726,1390,1349,585,10,False,True,False,0.020938043243724606,0.04008798913054711,0.038905537652595724,0.01687156377076983,0.0002884027995003389,1.0303928836174945,9,0,10,0,144,0.000259822257576502,1
1772,1513,1470,563,11,False,True,False,0.035171695844622264,0.03003091185830332,0.02917742262505346,0.011174754379527278,0.00021833445501740682,1.0292517006802722,12,0,13,0,144,0.0003624835465767496,1
1427,1421,1398,534,13,False,True,False,0.04938392372750456,0.04917628284287595,0.04838032611846627,0.018480038731946345,0.0004498885833619897,1.0164520743919885,13,0,13,0,144,0.0003515811478664846,1
854,1216,1196,412,9,False,True,False,0.023891722564132654,0.03401912721075563,0.033459602092157675,0.011526217443117862,0.0002517863033690795,1.0167224080267558,12,0,13,0,144,0.0005561879803455802,1
727,1176,1147,249,11,False,True,False,0.018891239980007853,0.030558594520617932,0.0298050237373714,0.006470314656151246,0.00028583719364523575,1.025283347863993,11,0,12,0,144,0.0006507414546646753,1
